"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 27 21:36:43 PKT 2022","Thu Oct 27 21:36:44 PKT 2022","461","","The Internet Guinea Pig Website: As a user, I can log in","","The Internet Guinea Pig Website: As a user, I can log in","Then It should click the button","Then It should click the button",""
"broken","Fri Oct 21 13:57:17 PKT 2022","Fri Oct 21 13:57:32 PKT 2022","15363","","Login with bank account","","Login with bank account","should login with valid credentials","should login with valid credentials",""
"broken","Thu Oct 27 18:08:52 PKT 2022","Thu Oct 27 18:08:52 PKT 2022","5","","Login test on mobile app: Successfully Login","","Login test on mobile app: Successfully Login","Given I launch the app","Given I launch the app",""
"passed","Thu Oct 27 21:36:44 PKT 2022","Thu Oct 27 21:36:44 PKT 2022","1","","The Internet Guinea Pig Website: As a user, I can log in","","The Internet Guinea Pig Website: As a user, I can log in","","",""
"passed","Thu Oct 27 21:36:29 PKT 2022","Thu Oct 27 21:36:29 PKT 2022","160","","The Internet Guinea Pig Website: As a user, I can log in","","The Internet Guinea Pig Website: As a user, I can log in","Given I am on the login page","Given I am on the login page",""
"skipped","Thu Oct 27 18:08:52 PKT 2022","Thu Oct 27 18:08:52 PKT 2022","0","","Login test on mobile app: Successfully Login","","Login test on mobile app: Successfully Login","And I set Pass321* to the inputfield xpath://XCUIElementTypeApplication[@name=""Appium""]/XCUIElementTypeWindow/XCUIElementTypeOther/XCUIElementTypeOther/XCUIElementTypeOther/XCUIElementTypeOther/XCUIElementTypeSecureTextField","And I set Pass321* to the inputfield xpath://XCUIElementTypeApplication[@name=""Appium""]/XCUIElementTypeWindow/XCUIElementTypeOther/XCUIElementTypeOther/XCUIElementTypeOther/XCUIElementTypeOther/XCUIElementTypeSecureTextField",""
"skipped","Thu Oct 27 18:08:52 PKT 2022","Thu Oct 27 18:08:52 PKT 2022","0","","Login test on mobile app: Successfully Login","","Login test on mobile app: Successfully Login","When I set cucumber@mobven.com to the inputfield xpath: xpath://XCUIElementTypeApplication[@name=""Appium""]/XCUIElementTypeWindow/XCUIElementTypeOther/XCUIElementTypeOther/XCUIElementTypeOther/XCUIElementTypeOther/XCUIElementTypeTextField","When I set cucumber@mobven.com to the inputfield xpath: xpath://XCUIElementTypeApplication[@name=""Appium""]/XCUIElementTypeWindow/XCUIElementTypeOther/XCUIElementTypeOther/XCUIElementTypeOther/XCUIElementTypeOther/XCUIElementTypeTextField",""
"passed","Thu Oct 27 18:08:52 PKT 2022","Thu Oct 27 18:08:52 PKT 2022","0","","Login test on mobile app: Successfully Login","","Login test on mobile app: Successfully Login","","",""
"broken","Thu Oct 27 18:08:52 PKT 2022","Thu Oct 27 18:08:52 PKT 2022","0","","Login test on mobile app: Successfully Login","","Login test on mobile app: Successfully Login","And I tap that element accessibility id:LOGIN","And I tap that element accessibility id:LOGIN",""
"passed","Thu Oct 27 21:36:29 PKT 2022","Thu Oct 27 21:36:43 PKT 2022","14209","","The Internet Guinea Pig Website: As a user, I can log in","","The Internet Guinea Pig Website: As a user, I can log in","When I login with username and password","When I login with username and password",""
"passed","Sun Oct 30 19:03:14 PKT 2022","Sun Oct 30 19:03:34 PKT 2022","20493","","Login with bank account","","Login with bank account","should validate login credentials","should validate login credentials",""
"passed","Thu Oct 06 21:31:53 PKT 2022","Thu Oct 06 21:32:00 PKT 2022","6739","","Login with bank account","","Login with bank account","should login with valid credentials","should login with valid credentials",""
"broken","Fri Oct 21 22:46:11 PKT 2022","Fri Oct 21 22:46:38 PKT 2022","27293","","Login with bank account","","Login with bank account","should validate hello world Test","should validate hello world Test",""
"broken","Thu Oct 27 18:08:52 PKT 2022","Thu Oct 27 18:08:52 PKT 2022","0","","Login test on mobile app: Successfully Login","","Login test on mobile app: Successfully Login","Then It should tap that button","Then It should tap that button",""
"skipped","Thu Oct 27 18:08:52 PKT 2022","Thu Oct 27 18:08:52 PKT 2022","0","","Login test on mobile app: Successfully Login","","Login test on mobile app: Successfully Login","Then I expect that element xpath://XCUIElementTypeApplication[@name=""Appium""]/XCUIElementTypeWindow/XCUIElementTypeOther/XCUIElementTypeOther/XCUIElementTypeOther/XCUIElementTypeOther/XCUIElementTypeTextField is displayed","Then I expect that element xpath://XCUIElementTypeApplication[@name=""Appium""]/XCUIElementTypeWindow/XCUIElementTypeOther/XCUIElementTypeOther/XCUIElementTypeOther/XCUIElementTypeOther/XCUIElementTypeTextField is displayed",""
